,A1 NumberofProtons,A2 NumberofProtons,B NumberofProtons,X1 NumberofProtons,X2 NumberofProtons,X3 NumberofProtons,X4 NumberofProtons,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,X1 NumberofNeutrons,X2 NumberofNeutrons,X3 NumberofNeutrons,X4 NumberofNeutrons,A1 NumberofShells,A2 NumberofShells,B NumberofShells,X1 NumberofShells,X2 NumberofShells,X3 NumberofShells,X4 NumberofShells,A1 SpecificHeat,A2 SpecificHeat,B SpecificHeat,X1 SpecificHeat,X2 SpecificHeat,X3 SpecificHeat,X4 SpecificHeat,A1 Density,A2 Density,B Density,X1 Density,X2 Density,X3 Density,X4 Density,A1 AtomicRadius,A2 AtomicRadius,B AtomicRadius,X1 AtomicRadius,X2 AtomicRadius,X3 AtomicRadius,X4 AtomicRadius,A1 FirstIonization,A2 FirstIonization,B FirstIonization,X1 FirstIonization,X2 FirstIonization,X3 FirstIonization,X4 FirstIonization,A1 AtomicMass,A2 AtomicMass,B AtomicMass,X1 AtomicMass,X2 AtomicMass,X3 AtomicMass,X4 AtomicMass,A1 MeltingPoint,A2 MeltingPoint,B MeltingPoint,X1 MeltingPoint,X2 MeltingPoint,X3 MeltingPoint,X4 MeltingPoint,Efa (eV/atom)
X1 NumberofNeutrons,0.13772911566271095,0.13038647641973256,-0.01991179641590135,0.9981381048504628,0.9979086800488259,0.6190696732519101,0.5606091888214229,0.1145642324017629,0.12469703716085159,-0.020006708157534553,1.0,0.9998460830544681,0.6378215912946195,0.5492678216529792,0.17809055470607416,0.1430204776930329,-0.010126323170575643,0.9773729124159196,0.9767961448969054,0.5592087413205368,0.5876672196745478,-0.22637675188364573,-0.15214195087560042,0.03699011172825411,-0.8964606155769738,-0.8942219635137991,-0.4462651847779482,-0.6132001031802377,0.1326936455100946,0.11411556132665296,0.005537882546813232,0.9885984618228436,0.9885982146962666,0.6433758033380992,0.5075220895696342,0.17113409092364915,0.13668755295024654,0.03751734497119048,0.9086955381692817,0.9069941559730162,0.4494076524874555,0.6063532008885271,-0.19103277180316613,-0.14213454136869766,-0.00884166225947379,-0.8617751168736246,-0.8594671069048588,-0.39267230401339565,-0.5948902546647237,0.12460869621090404,0.1266264711346039,-0.01968011290734802,0.9996217274791063,0.99943074527461,0.6296407585261073,0.5552064391746795,-0.21848085594402347,-0.14956314413588492,0.030679345910431335,0.9742587999774691,0.9735579838730414,0.5531695267693139,0.5950785440098181,-0.3070303919370274
X2 NumberofNeutrons,0.13802978064895044,0.13038454176626563,-0.017942185378013693,0.9979085793459187,0.9981340164722545,0.6202832383733969,0.5624679335654109,0.11465592425427057,0.12453886050923718,-0.018001861149837046,0.9998460830544681,1.0,0.6389956065642448,0.5511472021186882,0.17879156975132748,0.14336144622066094,-0.008461532899609402,0.9769520983060228,0.9772382556741693,0.5604227411116443,0.5894723298188278,-0.22738849976163936,-0.15284188289093906,0.035896813489321014,-0.895825380078388,-0.8951136107528798,-0.4469758776227756,-0.614990166770913,0.13268123370660417,0.1138330570085124,0.007064458854094198,0.9885311215889027,0.9885315742270501,0.6447708686052617,0.5092743807507625,0.17207265320805057,0.13726108571885112,0.03769708199124703,0.9080238047731121,0.9077683494451337,0.4504653542697157,0.6080289708686275,-0.19213733355450066,-0.14287427327662344,-0.00898954641498046,-0.8609930599088581,-0.860335979806744,-0.39374753001876023,-0.5964161837010834,0.12478963611366378,0.1265330432302974,-0.01768619138264378,0.9994329017247794,0.9996207334574908,0.6308273384957356,0.5570800423846572,-0.2194822200133414,-0.15022952448972796,0.029749778915841674,0.9738227264301361,0.9740557163682189,0.554301524041633,0.5969107954684358,-0.30769212132033813
X3 NumberofNeutrons,0.2416676484232218,0.29975673725971236,0.05863176226974274,0.6389901905323878,0.6407273326655885,0.9975983227108218,0.7377779849588137,0.23753843939901653,0.30490808382065926,0.058447397695313465,0.6378215912946195,0.6389956065642448,1.0,0.7388432008374548,0.23963837906973648,0.28187109952848804,0.05467450273719132,0.6301917638562115,0.6334099411114656,0.9695537326234853,0.723092535111869,-0.20500635476183368,-0.20613164085561222,-0.03800573514886178,-0.5746976722799458,-0.5795964144269521,-0.85507127162513,-0.651154638509787,0.23736001482195776,0.2836688672149924,0.041502891258319755,0.634075778812089,0.6340785202841146,0.986238660853421,0.7265485021391548,0.23093555276254765,0.2696104147649936,0.006266740189509144,0.5903140213066144,0.5952520193309738,0.8782794887756842,0.6646236721730429,-0.22643186493092693,-0.25377449520937917,-0.01144346419240851,-0.5644603582934202,-0.5698812430238039,-0.8256327552145005,-0.6212982687780788,0.2398443815137912,0.30269610938188746,0.05850096208453754,0.6385284181377192,0.6399733782223248,0.9994848531687531,0.7387590782893823,-0.21861417515871187,-0.22864199235626828,-0.04852406691838834,0.6268708590815045,0.630300504487722,0.9634801129807008,0.7209304759011259,-0.2897891192057934
X4 NumberofNeutrons,0.057540365798358716,0.04553967111702282,0.10859618832273553,0.5531387856348287,0.5559220838592523,0.7449086522467292,0.9982054767169515,0.055017404087570713,0.06069093343579677,0.10918504679115261,0.5492678216529792,0.5511472021186882,0.7388432008374548,1.0,0.059459824725192165,0.015623496892094968,0.09231416757945304,0.5471062892140975,0.5523248222574076,0.745943314594075,0.976329654688973,-0.0184719519720004,0.08678581698409421,-0.08247843398769637,-0.468078177497909,-0.4765143793502717,-0.6972120054378196,-0.8702667168352787,0.02321735271420934,0.0007669820080766479,0.06667607459061461,0.5652713975211189,0.5652757748733798,0.7118405433291346,0.9875446573233152,0.08926130035862473,0.04485915116371318,-0.01493220757651023,0.5073701468736157,0.5157028462827417,0.7086535037572805,0.8928865772729014,-0.08392372724952242,-0.022649388145377182,-0.008148839686449893,-0.4910866984168958,-0.5004391600011246,-0.6794522687523381,-0.8338458382212506,0.05634665490946521,0.05391913478656571,0.10880468771357436,0.5506957816110467,0.5530097629049107,0.7422702948751413,0.9996373944504103,-0.03583771837845923,0.05719933238607534,-0.08517196354054236,0.5382008997918156,0.5437862346854605,0.7454764987380287,0.9721077786328728,-0.12852702634802413
A1 NumberofShells,0.9753673831198395,0.7008673997038438,-0.06373344083602947,0.17864324244724852,0.17968018190144808,0.23353096753625258,0.05494938317381561,0.9429208560917687,0.6686905938699553,-0.06412515052317579,0.17809055470607416,0.17879156975132748,0.23963837906973648,0.059459824725192165,1.0,0.7442099524927175,-0.04589024943713893,0.1744698375361293,0.1764116430565768,0.21195889332092066,0.04461036821736243,-0.9016536445240512,-0.6944056648820099,0.07396221089914727,-0.14387956318124265,-0.14704235814802355,-0.16256073541294902,-0.04354166044725916,0.9397087759005867,0.6620680509382654,-0.018345843185786047,0.18568022638334275,0.18568185934254697,0.2462747050772008,0.05339918924081588,0.9746260376720579,0.7396819059261486,0.04989044228763227,0.15806644313520937,0.16117523589961402,0.17007059799752122,0.030340118269251662,-0.9724007437966444,-0.7474638634135014,-0.007777525166427568,-0.15181016644757506,-0.1553046643040711,-0.15045297630750595,-0.01822955992973202,0.9586785391129934,0.6832888935035498,-0.0635796266032297,0.17819387256738603,0.17905653517898182,0.23687210050547167,0.05765367284434975,-0.9484465316873488,-0.7296986440706092,0.06673729552297569,0.17095848624040644,0.1730382906104654,0.20823891694859475,0.046562172874735214,-0.4213593947893259
A2 NumberofShells,0.7500873859263522,0.9763544948304222,0.03577847433627745,0.14442621550769497,0.14493217054761082,0.2761816855958434,0.008434823486465712,0.7373711937890748,0.9484060505892874,0.03579645236161683,0.1430204776930329,0.14336144622066094,0.28187109952848804,0.015623496892094968,0.7442099524927175,1.0,0.031851435003679957,0.14428702527486534,0.14523415915623972,0.2550068252229424,-0.008128946717341198,-0.6165084987022494,-0.8810235050632638,-0.02570349862289988,-0.12772895379498878,-0.1292092947056638,-0.20408619630028432,0.012172742328001872,0.7145564131897502,0.9423140476205701,0.023232750439755246,0.1451478449136918,0.14514864290164053,0.2862643134442093,0.01229328436412819,0.7357637915379619,0.9774781041267211,-0.001200570762922571,0.13639647471339833,0.1378842625061251,0.21161432662233212,-0.028828564170032073,-0.7188833116596803,-0.9693074460772244,-0.0047635177120811415,-0.13266283387568367,-0.13432055686447492,-0.19037087439229394,0.0433907916187842,0.7444257810170813,0.9617220476917867,0.03575211117443321,0.14361116831347176,0.14403131455490562,0.2793476788648033,0.01258951067360062,-0.6666291147055663,-0.9382547119191954,-0.029506574868756515,0.1425228582792234,0.14353302350148472,0.25145759643498067,-0.00637355691324578,-0.45411280983141955
B NumberofShells,-0.017002126709774443,0.06349786355191007,0.957122349072301,-0.006653110047084597,-0.004187856831948983,0.056045342997122743,0.09178612063303093,-0.0015324432044600891,0.07642468391100044,0.9509949042948403,-0.010126323170575643,-0.008461532899609402,0.05467450273719132,0.09231416757945304,-0.04589024943713893,0.031851435003679957,1.0,0.0005656042426574862,0.005263727835114988,0.05508569225509203,0.08742876354396743,0.10514166157166677,0.04642758270871205,-0.8163606302882533,0.0009478139199689897,-0.007361230926139244,-0.03167819823333342,-0.06667396688571586,-0.03254572625827311,0.061808826411683206,0.5366371114511801,-0.006737413027764502,-0.00673362329869479,0.06470543214418036,0.09648996874076726,-0.03102577187143688,0.03512476461533894,0.42861564260618223,0.008307819615314951,0.016212620252243397,0.04681939790096071,0.07450827403511545,0.04849802410787935,-0.014529352276073378,-0.3108320946459208,-0.01462410936150215,-0.0236754967524233,-0.046948339487163676,-0.06870988841133975,-0.008216966984235734,0.07131732942585772,0.9537900974420785,-0.008690167956806716,-0.006639646625989076,0.05505966336960989,0.09200162746793845,0.09015294918808364,0.024055903336818982,-0.5947593690335228,-0.0007982303680716896,0.004282201732950563,0.051400504912471334,0.08538044982692636,-0.018885482676365927
X1 NumberofShells,0.13399096546087186,0.13003113390705212,-0.008366632076074779,0.9882450975814913,0.9876386769581743,0.6212348738702228,0.566291889188449,0.11141528156918609,0.12385827056623186,-0.008711825764979635,0.9773729124159196,0.9769520983060228,0.6301917638562115,0.5471062892140975,0.1744698375361293,0.14428702527486534,0.0005656042426574862,1.0,0.9987903660991542,0.5859279277028091,0.6151098688223385,-0.21945556833906266,-0.13691359047592813,0.02549876044964357,-0.9556077319372268,-0.9523550900357932,-0.4999293580399195,-0.6717251454533213,0.12151312584550826,0.09582642902253241,0.010539813712111174,0.9538768135834648,0.9538759299302263,0.6257284775060954,0.4945371367419405,0.1715431716664861,0.15328292911499167,0.03402871042115344,0.975358711924346,0.9727495115824081,0.5073934755118882,0.6662455656116107,-0.19100461597642934,-0.15754821485511059,-0.010855896249870895,-0.9492832191074896,-0.9460104839118719,-0.4640437660002928,-0.6689535513557713,0.12105310672509029,0.12593631633042954,-0.008345564832128968,0.9828098536807489,0.982297062449949,0.62651781270174,0.5566891352710249,-0.21231804762193368,-0.14144013192723656,0.015423893627214219,0.9990460024625817,0.9976644756400603,0.5817489267170707,0.6250958310661653,-0.3816867549142328
X2 NumberofShells,0.13481290509401103,0.13001333376061677,-0.0028103697347316484,0.987488430666948,0.988157130180783,0.6245903025702266,0.5714712733954014,0.11165449966072732,0.12340144065720779,-0.0030573355423679,0.9767961448969054,0.9772382556741693,0.6334099411114656,0.5523248222574076,0.1764116430565768,0.14523415915623972,0.005263727835114988,0.9987903660991542,1.0,0.5893516360215624,0.6201911661053734,-0.22225653288196145,-0.1388254313293928,0.022399497516014943,-0.9538955963184715,-0.9549240461229489,-0.502018862597679,-0.6768402032358194,0.12143848879700718,0.09497783351615327,0.014834500299186737,0.9535134920096774,0.9535145698640163,0.6295410801106173,0.49937557718957765,0.17416213468654898,0.15492162066560508,0.0345208543436203,0.9735620239324032,0.975007025321601,0.5104670617562244,0.6710440330225159,-0.19408641415238323,-0.15964970050665708,-0.0112750541015973,-0.9472336215881743,-0.9485901042683087,-0.46720519367962127,-0.6733683323448014,0.12154078960453649,0.12566133369402338,-0.002721653387718342,0.9821498219520726,0.9826989448298039,0.6297833002010285,0.5619001090047877,-0.21509248547988818,-0.14327595621032027,0.012775037932386603,0.9977992705434425,0.9990357487633718,0.5849478018637962,0.6302590959904698,-0.383703984209714
X3 NumberofShells,0.21523423349854312,0.2735133184026949,0.05836642362267625,0.5699805665857132,0.5717899390391493,0.9839796786765416,0.753481551835542,0.21293104541003735,0.27971489895893165,0.05806604301255179,0.5592087413205368,0.5604227411116443,0.9695537326234853,0.745943314594075,0.21195889332092066,0.2550068252229424,0.05508569225509203,0.5859279277028091,0.5893516360215624,1.0,0.7603410423806932,-0.1693169298247393,-0.15541701987183576,-0.03779800404089049,-0.5573717189748127,-0.56277076499213,-0.9436989640516177,-0.7061099409567919,0.19831823433704468,0.2341296362467057,0.041391129547628545,0.550125263283247,0.5501280736014926,0.9330218020551375,0.7294488447083272,0.21298622725693814,0.2643985066770315,0.007207442293152728,0.5810816741586388,0.586516546229989,0.9676687058876529,0.7307079678525003,-0.20681550288265235,-0.24585204169740676,-0.012322822704061582,-0.5738616402644072,-0.5799275141121986,-0.9383962830763338,-0.7028838151551275,0.21424480601687326,0.2769628806491677,0.05816187066175129,0.5642056075784623,0.5657047622972723,0.97690294242817,0.749681376841859,-0.18508618443763486,-0.18727677298702605,-0.04990382338546247,0.5835297201503206,0.5871873277084755,0.9989394709656783,0.75847434268658,-0.30743030857949716
